tag,词性,label,remove
上海时时乐,上海/ns(地名) 时时/d(副词) 乐/a(形容词),com_del_type,0
鸭子牛郎男妓仔仔,鸭子/n(名词) 牛郎/n(名词) 男妓/n(名词) 仔仔/n(名词),com_del_type,0
夜场高薪招聘服务,夜场/n(名词) 高薪/n(名词) 招聘/vn(其他) 服务/vn(其他),com_del_type,0
黄家驹,黄家驹/nr(其他),sin_nr_type,0
信用卡提现,信用卡/n(名词) 提现/v(动词),com_del_type,0
QQ:35582404,qq/n(名词) :/w(标点) 35582404/m(数词),porn_type,1
交流会,交流会/n(名词),sin_ver_nou_del_type,0
黄金柱,黄金柱/n(名词),sin_ver_nou_del_type,0
再婚,再婚/v(动词),sin_ver_nou_del_type,0
2012级,2012/m(数词) 级/n(名词),val_num_time_type,1
美国留学,美国/ns(地名) 留学/v(动词),com_del_type,0
聚优惠,聚/v(动词) 优惠/vn(其他),com_del_type,0
正规,正规/a(形容词),sin_other_save_type,0
银行卡交易,银行卡/n(名词) 交易/vn(其他),com_del_type,0
白袜,白袜/n(名词),sin_ver_nou_del_type,0
AMAZON,amazon/nx(其他),sin_nx_type,0
5班,5/m(数词) 班/n(名词),val_num_time_type,1
大宗,大宗/m(数词),numeric_type,1
特殊,特殊/a(形容词),val_eval_type,1
英语交流,英语/n(名词) 交流/vn(其他),com_del_type,0
电吉他,电吉他/n(名词),sin_ver_nou_del_type,0
闲置物品,闲置/v(动词) 物品/n(名词),com_del_type,0
333,333/m(数词),numeric_type,1
破解空间,破解/v(动词) 空间/n(名词),com_del_type,0
计划群：767733,计划/n(名词) 群/Ng(其他) :/w(标点) 767733/m(数词),porn_type,1
朋友会,朋友/n(名词) 会/v(动词),val_eval_type,1
富婆款姐御姐土豪,富婆/n(名词) 款/n(名词) 姐/n(名词) 御姐/n(名词) 土豪/n(名词),com_del_type,0
女子会所女士会馆,女子/n(名词) 会所/n(名词) 女士/n(名词) 会馆/n(名词),porn_type,1
男子会所同志会所,男子/n(名词) 会所/n(名词) 同志/n(名词) 会所/n(名词),porn_type,1
优化,优化/v(动词),sin_ver_nou_del_type,0
PE,pe/nx(其他),val_eval_type,1
揽胜极光,揽胜/v(动词) 极光/n(名词),com_del_type,0
警察,警察/n(名词),sin_ver_nou_del_type,0
合唱,合唱/v(动词),sin_ver_nou_del_type,0
家居装饰设计,家居/n(名词) 装饰/n(名词) 设计/vn(其他),com_del_type,0
世爵,世爵/nz(其他专名),sin_nz_type,0
找美女妹妹出台,找/v(动词) 美女/n(名词) 妹妹/n(名词) 出台/v(动词),porn_type,1
学佛,学/v(动词) 佛/n(名词),com_del_type,0
网络营销推广,网络/n(名词) 营销/vn(其他) 推广/vn(其他),com_del_type,0
生产,生产/v(动词),sin_ver_nou_del_type,0
违章处理,违章/v(动词) 处理/v(动词),com_del_type,0
供应商,供应商/n(名词),sin_ver_nou_del_type,0
广交朋友,广交朋友/l(其他),val_eval_type,1
大乐斗,大乐斗/n(名词),sin_ver_nou_del_type,0
起名,起名/v(动词),sin_ver_nou_del_type,0
我们在一起,我们/r(代词) 在/p(介词) 一起/s(处所词),val_eval_type,1
罗麦,罗麦/nr(其他),sin_nr_type,0
奔跑,奔跑/v(动词),sin_ver_nou_del_type,0
爆笑,爆笑/v(动词),sin_ver_nou_del_type,0
问作业,问作业/n(名词),sin_ver_nou_del_type,0
交大,交大/n(名词),sin_ver_nou_del_type,0
享受生活,享受/v(动词) 生活/vn(其他),com_del_type,0
汉子,汉子/n(名词),sin_ver_nou_del_type,0
永州,永州/ns(地名),sin_ns_type,0
纯真,纯真/a(形容词),sin_other_save_type,0
沪深300,沪深/n(名词) 300/m(数词),com_del_type,0
证书挂靠,证书/n(名词) 挂靠/v(动词),com_del_type,0
淡斑,淡斑/n(名词),sin_ver_nou_del_type,0
战舰少女,战舰/n(名词) 少女/n(名词),com_del_type,0
郑州兰州太原成都,郑州/ns(地名) 兰州/ns(地名) 太原/ns(地名) 成都/ns(地名),com_del_type,0
零首付购车,零首付/n(名词) 购车/vn(其他),com_del_type,0
日产,日产/v(动词),sin_ver_nou_del_type,0
商品票礼品票,商品/n(名词) 票/n(名词) 礼品/n(名词) 票/n(名词),com_del_type,0
认识,认识/v(动词),val_eval_type,1
股票实战,股票/n(名词) 实战/n(名词),com_del_type,0
小孩,小孩/n(名词),sin_ver_nou_del_type,0
荣威,荣威/nz(其他专名),sin_nz_type,0
诚信互刷,诚信/v(动词) 互刷/n(名词),val_eval_type,1
东莞装修交流群,东莞/ns(地名) 装修/vn(其他) 交流/vn(其他) 群/Ng(其他),com_del_type,0
装修预算表,装修/v(动词) 预算表/n(名词),com_del_type,0
十班,十/m(数词) 班/q(量词),val_eval_type,1
趣事,趣事/n(名词),sin_ver_nou_del_type,0
方法,方法/n(名词),sin_ver_nou_del_type,0
打假,打假/v(动词),sin_ver_nou_del_type,0
撩,撩/v(动词),val_eval_type,1
毕业群,毕业/v(动词) 群/Ng(其他),val_eval_type,1
365BET,365/m(数词) bet/nx(其他),com_del_type,0
变形金刚,变形/v(动词) 金刚/n(名词),com_del_type,0
2013届,2013/m(数词) 届/q(量词),val_num_time_type,1
80后90后,80后/n(名词) 90后/n(名词),val_num_time_type,1
政法干警,政法/n(名词) 干警/n(名词),com_del_type,0
手帐,手帐/n(名词),sin_ver_nou_del_type,0
卫校,卫校/j(简称),sin_other_save_type,0
永远的兄弟,永远/d(副词) 的/u(助词) 兄弟/n(名词),val_eval_type,1
熟人,熟人/n(名词),sin_ver_nou_del_type,0
周末,周末/t(时间词),val_num_time_type,1
发烧友,发烧友/n(名词),sin_ver_nou_del_type,0
哈娄化妆养生,哈/j(简称) 娄/j(简称) 化妆/vn(其他) 养生/vn(其他),com_del_type,0
北京快乐8,北京/ns(地名) 快乐/a(形容词) 8/m(数词),com_del_type,0
拽,拽/v(动词),val_eval_type,1
浴场男技师水疗SPA,浴场/n(名词) 男/b(其他) 技师/n(名词) 水疗/n(名词) spa/nx(其他),com_del_type,0
啤酒,啤酒/n(名词),sin_ver_nou_del_type,0
青春派,青春派/n(名词),sin_ver_nou_del_type,0
时时彩代理,时时/d(副词) 彩/Ng(其他) 代理/v(动词),com_del_type,0
444,444/m(数词),numeric_type,1
熊猫TV,熊猫/n(名词) tv/nx(其他),com_del_type,0
和利装饰,和/c(连词) 利/n(名词) 装饰/n(名词),com_del_type,0
东莞装饰设计交流,东莞/ns(地名) 装饰/n(名词) 设计/vn(其他) 交流/vn(其他),com_del_type,0
卧室客厅装修效果,卧室/n(名词) 客厅/n(名词) 装修/vn(其他) 效果/n(名词),com_del_type,0
中式欧式装修设计,中式/b(其他) 欧式/b(其他) 装修/vn(其他) 设计/vn(其他),com_del_type,0
餐饮行业装修风格,餐饮/n(名词) 行业/n(名词) 装修/vn(其他) 风格/n(名词),com_del_type,0
交通事故,交通/n(名词) 事故/n(名词),com_del_type,0
深圳单身帅哥,深圳/ns(地名) 单身/n(名词) 帅哥/n(名词),com_del_type,0
游戏公会,游戏/n(名词) 公会/n(名词),com_del_type,0
爱吃,爱/v(动词) 吃/v(动词),com_del_type,0
绝世唐门,绝世/b(其他) 唐门/n(名词),com_del_type,0
小区物业,小区/n(名词) 物业/n(名词),com_del_type,0
280356697,280356697/m(数词),numeric_type,1
狩猎,狩猎/v(动词),sin_ver_nou_del_type,0
乐橙,乐橙/n(名词),sin_ver_nou_del_type,0
找妹妹妹子,找/v(动词) 妹妹/n(名词) 妹子/n(名词),porn_type,1
性感女神,性感/a(形容词) 女神/n(名词),com_del_type,0
糖果,糖果/n(名词),sin_ver_nou_del_type,0
装修建材,装修/v(动词) 建材/n(名词),com_del_type,0
竞彩足球,竞彩/n(名词) 足球/n(名词),com_del_type,0
剑侠情缘三,剑侠情缘/nz(其他专名) 三/m(数词),com_del_type,0
积分,积分/n(名词),sin_ver_nou_del_type,0
云,云/j(简称),val_eval_type,1
明天会更好,明天/t(时间词) 会/v(动词) 更好/n(名词),com_del_type,0
妈妈交流,妈妈/n(名词) 交流/vn(其他),com_del_type,0
盗号,盗号/v(动词),sin_ver_nou_del_type,0
愉悦,愉悦/a(形容词),sin_other_save_type,0
相互学习,相互/d(副词) 学习/v(动词),com_del_type,0
热爱学习,热爱/v(动词) 学习/v(动词),com_del_type,0
肺癌,肺癌/n(名词),sin_ver_nou_del_type,0
球友,球友/n(名词),sin_ver_nou_del_type,0
小萝莉,小萝莉/n(名词),sin_ver_nou_del_type,0
课外辅导,课外/t(时间词) 辅导/v(动词),com_del_type,0
家装装饰用品,家装/n(名词) 装饰/n(名词) 用品/n(名词),com_del_type,0
学长学姐,学长/n(名词) 学姐/n(名词),com_del_type,0
天通银,天通银/n(名词),sin_ver_nou_del_type,0
僵尸,僵尸/n(名词),sin_ver_nou_del_type,0
集结号,集结号/n(名词),sin_ver_nou_del_type,0
散步,散步/v(动词),sin_ver_nou_del_type,0
物业管理,物业/n(名词) 管理/vn(其他),com_del_type,0
优惠券,优/Ag(其他) /n(名词) 惠/Vg(其他) /n(名词) 券/Ng(其他),com_del_type,0
问道手游,问道/v(动词) 手游/n(名词),com_del_type,0
皮卡丘,皮卡丘/n(名词),sin_ver_nou_del_type,0
ྉ快ྉ三ྉ,快/a(形容词) 三/m(数词),com_del_type,0
教师考试,教师/n(名词) 考试/vn(其他),com_del_type,0
HIGH,high/nx(其他),sin_nx_type,0
中级,中级/b(其他),sin_other_save_type,0
购房大学,购房/vn(其他) 大学/n(名词),com_del_type,0
常熟,常熟/ns(地名),sin_ns_type,0
繁星,繁星/n(名词),sin_ver_nou_del_type,0
唐家三少,唐家/ns(地名) 三少/n(名词),com_del_type,0
中小板,中小板/n(名词),sin_ver_nou_del_type,0
求生之路,求生/v(动词) 之/u(助词) 路/n(名词),com_del_type,0
室内,室内/s(处所词),sin_other_save_type,0
请看群介绍找妹,请/v(动词) 看/v(动词) 群介绍/n(名词) 找/v(动词) 妹/n(名词),porn_type,1
私募底,私募/a(形容词) 底/f(方位词),com_del_type,0
原创音乐,原创/n(名词) 音乐/n(名词),com_del_type,0
达州,达州/ns(地名),sin_ns_type,0
有机食品,有机/b(其他) 食品/n(名词),com_del_type,0
单职业,单职业/n(名词),sin_ver_nou_del_type,0
道友,道友/n(名词),sin_ver_nou_del_type,0
哈弗,哈弗/nz(其他专名),sin_nz_type,0
北京找大学生,北京/ns(地名) 找/v(动词) 大学生/n(名词),porn_type,1
、,、/w(标点),punctuation_type,1
师生交流,师生/n(名词) 交流/vn(其他),com_del_type,0
免单秒杀,免单/n(名词) 秒杀/n(名词),com_del_type,0
兄弟姐妹们,兄弟/n(名词) 姐妹/n(名词) 们/k(后接成分),val_eval_type,1
排毒,排毒/v(动词),sin_ver_nou_del_type,0
555,555/m(数词),numeric_type,1
小凯,小凯/nr(其他),sin_nr_type,0
帅哥靓女,帅哥/nz(其他专名) 靓女/n(名词),com_del_type,0
41,41/m(数词),numeric_type,1
中国象棋,中国/ns(地名) 象棋/n(名词),com_del_type,0
45,45/m(数词),numeric_type,1
装修建材讨论,装修/v(动词) 建材/n(名词) 讨论/v(动词),com_del_type,0
装修样板,装修/v(动词) 样板/n(名词),com_del_type,0
装修材料,装修/v(动词) 材料/n(名词),com_del_type,0
北京PK,北京/ns(地名) pk/nx(其他),com_del_type,0
滨州,滨州/ns(地名),sin_ns_type,0
女装货源,女装/n(名词) 货源/n(名词),com_del_type,0
俄罗斯,俄罗斯/ns(地名),sin_ns_type,0
庆典,庆典/n(名词),sin_ver_nou_del_type,0
苏州交友,苏州/ns(地名) 交友/v(动词),val_eval_type,1
个股解析,个股/n(名词) 解析/v(动词),com_del_type,0
黑道,黑道/n(名词),sin_ver_nou_del_type,0
赛ت车ت计ت划,赛车/n(名词) 计划/n(名词),com_del_type,0
荆州,荆州/ns(地名),sin_ns_type,0
淘宝店,淘宝店/n(名词),sin_ver_nou_del_type,0
时装,时装/n(名词),sin_ver_nou_del_type,0
太阳能,太阳能/n(名词),sin_ver_nou_del_type,0
养生保健,养生/vn(其他) 保健/n(名词),com_del_type,0
淘宝互刷3,淘宝/n(名词) 互刷/n(名词) 3/m(数词),val_eval_type,1
长板,长板/n(名词),sin_ver_nou_del_type,0
论文代写,论文/n(名词) 代写/n(名词),com_del_type,0
挑战,挑战/v(动词),sin_ver_nou_del_type,0
功夫,功夫/n(名词),sin_ver_nou_del_type,0
相宜本草,相宜本草/nz(其他专名),sin_nz_type,0
董事长,董事长/n(名词),sin_ver_nou_del_type,0
烦恼,烦恼/a(形容词),sin_other_save_type,0
互联网营销,互联网/n(名词) 营销/vn(其他),com_del_type,0
SF,sf/nx(其他),val_eval_type,1
活动线报,活动/vn(其他) 线报/j(简称),com_del_type,0
外快,外快/n(名词),sin_ver_nou_del_type,0
发现,发现/v(动词),val_eval_type,1
C4D,c4d/nx(其他),sin_nx_type,0
免单群,免/v(动词) 单群/n(名词),com_del_type,0
稳赚,稳赚/n(名词),sin_ver_nou_del_type,0
个人贷款,个人/n(名词) 贷款/n(名词),val_eval_type,1
酒吧KTV俱乐部,酒吧/n(名词) ktv/nx(其他) 俱乐部/n(名词),com_del_type,0
理容足疗按摩推油,理容/n(名词) 足疗/n(名词) 按摩/v(动词) 推油/v(动词),porn_type,1
利好,利好/a(形容词),sin_other_save_type,0
电梯,电梯/n(名词),sin_ver_nou_del_type,0
中级职称,中级/b(其他) 职称/n(名词),com_del_type,0
招待费票地税票,招待费/n(名词) 票/n(名词) 地/u(助词) 税票/n(名词),com_del_type,0
心灵鸡汤,心灵/n(名词) 鸡汤/n(名词),com_del_type,0
游戏好友,游戏/n(名词) 好友/n(名词),val_eval_type,1
住宿费,住宿费/n(名词),sin_ver_nou_del_type,0
找老公,找/v(动词) 老公/n(名词),com_del_type,0
澳大利亚,澳大利亚/ns(地名),sin_ns_type,0
折扣群,折扣/n(名词) 群/Ng(其他),com_del_type,0
兼职工作,兼职/vn(其他) 工作/vn(其他),com_del_type,0
银行卡2,银行卡/n(名词) 2/m(数词),com_del_type,0
脑洞,脑洞/n(名词),sin_ver_nou_del_type,0
手机赚钱,手/n(名词) /n(名词) 机/n(名词) /n(名词) 赚/v(动词) /n(名词) 钱/n(名词),com_del_type,0
总部,总部/n(名词),val_eval_type,1
红杏出墙来,红杏出墙/i(习语) 来/v(动词),com_del_type,0
找妹妹保健,找/v(动词) 妹妹/n(名词) 保健/n(名词),porn_type,1
赚客,赚客/n(名词),sin_ver_nou_del_type,0
职位,职位/n(名词),sin_ver_nou_del_type,0
虚拟,虚拟/v(动词),sin_ver_nou_del_type,0
会计实操,会计实/n(名词) 操/v(动词),com_del_type,0
无话不说,无/v(动词) 话/n(名词) 不说/c(连词),com_del_type,0
朋友。,朋友/n(名词) 。/w(标点),val_eval_type,1
夜店少爷男公关,夜店/n(名词) 少爷/n(名词) 男/b(其他) 公关/n(名词),porn_type,1
GO购,go/nx(其他) 购/Vg(其他),com_del_type,0
美味,美味/n(名词),sin_ver_nou_del_type,0
装修效果设计,装修/v(动词) 效果/n(名词) 设计/vn(其他),com_del_type,0
号码定位,号码/n(名词) 定位/vn(其他),com_del_type,0
关注,关注/v(动词),val_eval_type,1
批发零售,批发/vn(其他) 零售/vn(其他),com_del_type,0
分享交流,分享/v(动词) 交流/vn(其他),com_del_type,0
单身福利,单身/n(名词) 福利/n(名词),com_del_type,0
日结兼职,日结/n(名词) 兼职/v(动词),com_del_type,0
YHK,yhk/nx(其他),sin_nx_type,0
男女约会,男女/n(名词) 约会/v(动词),com_del_type,0
傻瓜,傻瓜/n(名词),val_eval_type,1
绝地求生,绝/Ag(其他) /n(名词) 地/u(助词) /n(名词) 求/v(动词) /n(名词) 生/v(动词),com_del_type,0
高级,高级/a(形容词),val_eval_type,1
陪你一夜,陪/v(动词) 你/r(代词) 一/m(数词) 夜/q(量词),porn_type,1
女人帮,女人/n(名词) 帮/v(动词),com_del_type,0
95,95/m(数词),numeric_type,1
药学,药学/n(名词),sin_ver_nou_del_type,0
小妹出台,小妹/n(名词) 出台/v(动词),porn_type,1
人大,人大/n(名词),sin_ver_nou_del_type,0
HEHE,hehe/nx(其他),sin_nx_type,0
鬼步,鬼步/n(名词),sin_ver_nou_del_type,0
钱宝,钱宝/n(名词),sin_ver_nou_del_type,0
传递正能量,传递/v(动词) 正能量/n(名词),com_del_type,0
风湿,风湿/n(名词),sin_ver_nou_del_type,0
影音,影音/n(名词),sin_ver_nou_del_type,0
神圣计划,神圣/a(形容词) 计划/n(名词),com_del_type,0
鸡婆保健,鸡婆/n(名词) 保健/n(名词),porn_type,1
铁路,铁路/n(名词),sin_ver_nou_del_type,0
金融交流,金融/n(名词) 交流/vn(其他),com_del_type,0
暗黑3,暗黑/b(其他) 3/m(数词),com_del_type,0
玩的开心,玩/v(动词) 的/u(助词) 开心/a(形容词),com_del_type,0
现货白银投资,现货/n(名词) 白银/n(名词) 投资/vn(其他),com_del_type,0
工程管理,工程/n(名词) 管理/vn(其他),com_del_type,0
多囊卵巢,多囊/n(名词) 卵巢/n(名词),com_del_type,0
超级会员,超级/b(其他) 会员/n(名词),com_del_type,0
剁手,剁手/n(名词),sin_ver_nou_del_type,0
吃鸡辅助,吃/v(动词) 鸡/n(名词) 辅助/vn(其他),com_del_type,0
水友,水友/n(名词),sin_ver_nou_del_type,0
招人,招人/n(名词),sin_ver_nou_del_type,0
安庆,安庆/ns(地名),sin_ns_type,0
动漫社,动漫社/n(名词),sin_ver_nou_del_type,0
办理POS机,办理/v(动词) pos/nx(其他) 机/n(名词),com_del_type,0
大盘牛股,大盘/n(名词) 牛股/n(名词),com_del_type,0
相声,相声/n(名词),sin_ver_nou_del_type,0
淘宝导购,淘宝/n(名词) 导购/vn(其他),com_del_type,0
淘宝互刷信誉,淘宝/n(名词) 互刷/n(名词) 信誉/n(名词),val_eval_type,1
拳击,拳击/n(名词),sin_ver_nou_del_type,0
北京赛ྉ车群,北京/ns(地名) 赛车/n(名词) 群/Ng(其他),com_del_type,0
茄Q37751288,茄/Ng(其他) q/nx(其他) 37751288/m(数词),porn_type,1
第二志愿,第/m(数词) 二/m(数词) 志愿/n(名词),com_del_type,0
事业编制,事业/n(名词) 编制/v(动词),com_del_type,0
J,j/nx(其他),val_eval_type,1
4S店,4s店/n(名词),sin_ver_nou_del_type,0
星王合击,星/n(名词) 王/n(名词) 合击/v(动词),com_del_type,0
计算机等级,计算机/n(名词) 等级/n(名词),com_del_type,0
押款,押款/v(动词),sin_ver_nou_del_type,0
北京美女出台,北京/ns(地名) 美女/n(名词) 出台/v(动词),porn_type,1
资源群,资源/n(名词) 群/Ng(其他),com_del_type,0
JAVA学习,java/nx(其他) 学习/v(动词),com_del_type,0
饭店,饭店/n(名词),sin_ver_nou_del_type,0
校园宣讲会,校园/n(名词) 宣讲会/n(名词),com_del_type,0
雷凌,雷凌/nr(其他),sin_nr_type,0
机甲旋风,机甲/n(名词) 旋风/n(名词),com_del_type,0
一级建造,一级/b(其他) 建造/vn(其他),com_del_type,0
99,99/m(数词),numeric_type,1
皇马,皇马/n(名词),sin_ver_nou_del_type,0
地图,地图/n(名词),sin_ver_nou_del_type,0
男人帮,男人/n(名词) 帮/v(动词),com_del_type,0
斑点,斑点/n(名词),sin_ver_nou_del_type,0
半价,半价/n(名词),sin_ver_nou_del_type,0
问题,问题/n(名词),val_eval_type,1
羊角风,羊角风/n(名词),sin_ver_nou_del_type,0
高考志愿,高考/vn(其他) 志愿/n(名词),com_del_type,0
淘宝优惠购,淘宝/n(名词) 优惠购/n(名词),com_del_type,0
打印,打印/v(动词),sin_ver_nou_del_type,0
湖南大学,湖南/ns(地名) 大学/n(名词),com_del_type,0
啪啪短片,啪/o(拟声词) /n(名词) 啪/o(拟声词) 短片/n(名词),com_del_type,0
淘宝天猫优惠卷,淘宝/n(名词) 天猫/n(名词) 优惠卷/n(名词),com_del_type,0
NBA篮球,nba/nx(其他) 篮球/n(名词),com_del_type,0
吴磊,吴磊/nr(其他),sin_nr_type,0
稳赚计划,稳赚/n(名词) 计划/n(名词),com_del_type,0
自体脂肪填充,自体/n(名词) 脂肪/n(名词) 填充/v(动词),com_del_type,0
奔驰C级,奔驰/n(名词) c/nx(其他) 级/n(名词),com_del_type,0
爱唱歌,爱/v(动词) 唱歌/v(动词),com_del_type,0
数学建模,数学/n(名词) 建模/n(名词),com_del_type,0
欢迎欢迎,欢迎/v(动词) 欢迎/v(动词),com_special_type,1
自家人,自家人/n(名词),sin_ver_nou_del_type,0
奋进,奋进/v(动词),sin_ver_nou_del_type,0
网上购物,网上/s(处所词) 购物/v(动词),com_del_type,0
靓仔,靓仔/n(名词),sin_ver_nou_del_type,0
爬宠,爬宠/n(名词),sin_ver_nou_del_type,0
减肥方法,减肥/vn(其他) 方法/n(名词),com_del_type,0
后援团,后援团/n(名词),sin_ver_nou_del_type,0
足彩交流,足彩/n(名词) 交流/vn(其他),com_del_type,0
众泰汽车,众泰/nz(其他专名) 汽车/n(名词),com_del_type,0
面点,面点/n(名词),sin_ver_nou_del_type,0
不散,不/d(副词) 散/v(动词),val_eval_type,1
宋茜,宋茜/n(名词),sin_ver_nou_del_type,0
皮肤病,皮肤病/n(名词),sin_ver_nou_del_type,0
小说群,小说/n(名词) 群/Ng(其他),com_del_type,0
剩男剩女,剩男/n(名词) 剩女/n(名词),com_del_type,0
找美女酒店保健,找/v(动词) 美女/n(名词) 酒店/n(名词) 保健/n(名词),porn_type,1
显卡,显卡/n(名词),sin_ver_nou_del_type,0
泰州,泰州/ns(地名),sin_ns_type,0
手赚,手赚/n(名词),sin_ver_nou_del_type,0
家装设计,家装/n(名词) 设计/vn(其他),com_del_type,0
减脂,减脂/n(名词),sin_ver_nou_del_type,0
16级,16/m(数词) 级/n(名词),val_num_time_type,1
回收,回收/v(动词),sin_ver_nou_del_type,0
暗黑,暗黑/b(其他),sin_other_save_type,0
拉卡拉,拉卡拉/n(名词),sin_ver_nou_del_type,0
滴滴打车,滴滴/q(量词) 打车/v(动词),com_del_type,0
学姐,学姐/n(名词),sin_ver_nou_del_type,0
京东运营,京东/ns(地名) 运营/v(动词),com_del_type,0
微商交流群,微商/n(名词) 交流/vn(其他) 群/Ng(其他),com_del_type,0
北京美女上门,北京/ns(地名) 美女/n(名词) 上门/v(动词),porn_type,1
弱电工程,弱电/n(名词) 工程/n(名词),com_del_type,0
啦啦啦啦啦,啦啦啦/n(名词) 啦/y(语气助词) 啦/y(语气助词),val_eval_type,1
代打,代打/n(名词),sin_ver_nou_del_type,0
合乐芳芳,合乐/ns(地名) 芳芳/nr(其他),com_del_type,0
黑马涨停,黑马/n(名词) 涨停/v(动词),com_del_type,0
风险控制,风险/n(名词) 控制/v(动词),com_del_type,0
真爱粉,真爱/n(名词) 粉/n(名词),com_del_type,0
加妹QQ：2282993267,加/j(简称) 妹/n(名词) qq/n(名词) :/w(标点) 2282993267/m(数词),porn_type,1
攻击服务器,攻击/v(动词) 服务器/n(名词),com_del_type,0
银川,银川/ns(地名),sin_ns_type,0
办公室装修预览,办公室/n(名词) 装修/v(动词) 预览/v(动词),com_del_type,0
玩客云,玩客云/n(名词),sin_ver_nou_del_type,0
高血压,高血压/n(名词),sin_ver_nou_del_type,0
酒吧聚会,酒吧/n(名词) 聚会/v(动词),com_del_type,0
梦幻西游2,梦幻西游/nz(其他专名) 2/m(数词),com_del_type,0
罪恶王冠,罪恶/n(名词) 王冠/n(名词),com_del_type,0
一夜情,一夜情/n(名词),porn_type,1
一手房,一手房/n(名词),sin_ver_nou_del_type,0
终结者2,终结者/n(名词) 2/m(数词),com_del_type,0
平面模特,平面/n(名词) 模特/n(名词),com_del_type,0
杀手,杀手/n(名词),sin_ver_nou_del_type,0
PྉKྉ,pk/nx(其他),sin_nx_type,0
利荣资本,利荣/nr(其他) 资本/n(名词),com_del_type,0
君临天下,君临/n(名词) 天下/n(名词),com_del_type,0
网咖,网咖/n(名词),sin_ver_nou_del_type,0
林肯MKC,林肯/n(名词) mkc/nx(其他),com_del_type,0
管理苏芩,管理/v(动词) 苏芩/nr(其他),com_del_type,0
找苏芩领,找/v(动词) 苏芩/nr(其他) 领/v(动词),com_del_type,0
购物券,购物券/n(名词),sin_ver_nou_del_type,0
QQ密码找回,qq/n(名词) 密码/n(名词) 找回/v(动词),com_del_type,0
P图,p/nx(其他) 图/n(名词),com_del_type,0
WE ARE FAMILY,we/nx(其他) /w(标点) are/nx(其他) /w(标点) family/nx(其他),punctuation_type,1
PVE,pve/nx(其他),sin_nx_type,0
美白针,美白针/n(名词),sin_ver_nou_del_type,0
发票代开13699827122,发票/n(名词) 代开/n(名词) 13699827122/m(数词),porn_type,1
瑞虎5,瑞虎/n(名词) 5/m(数词),com_del_type,0
清远,清远/ns(地名),sin_ns_type,0
12306,12306/m(数词),numeric_type,1
提现,提现/v(动词),sin_ver_nou_del_type,0
CEO,ceo/nx(其他),sin_nx_type,0
绿松石,绿松石/n(名词),sin_ver_nou_del_type,0
丰田车友会,丰田/n(名词) 车友会/n(名词),com_del_type,0
海运,海运/n(名词),sin_ver_nou_del_type,0
李晨,李晨/n(名词),sin_ver_nou_del_type,0
宫寒,宫/Ng(其他) 寒/Ag(其他),com_del_type,0
道,道/v(动词),val_eval_type,1
中药材,中药材/n(名词),sin_ver_nou_del_type,0
猎豹,猎豹/n(名词),sin_ver_nou_del_type,0
手机短信拦截马,手机/n(名词) 短信/n(名词) 拦截/v(动词) 马/n(名词),com_del_type,0
POLO,polo/nx(其他),sin_nx_type,0
北京赛车计划群,北京/ns(地名) 赛车/n(名词) 计划/n(名词) 群/Ng(其他),com_del_type,0
不,不/d(副词),sin_other_remove_type,1
NBA交流,nba/nx(其他) 交流/vn(其他),com_del_type,0
高仿,高仿/n(名词),sin_ver_nou_del_type,0
天猫折扣秒杀优惠,天猫/n(名词) 折扣/n(名词) 秒杀/n(名词) 优惠/vn(其他),com_del_type,0
命理,命理/n(名词),sin_ver_nou_del_type,0
礼物,礼物/n(名词),sin_ver_nou_del_type,0
快,快/a(形容词),sin_other_remove_type,1
熊孩子,熊孩子/n(名词),sin_ver_nou_del_type,0
咨询交流,咨询/vn(其他) 交流/vn(其他),com_del_type,0
林肯MKZ,林肯/n(名词) mkz/nx(其他),com_del_type,0
海外代购,海外/s(处所词) 代购/v(动词),com_del_type,0
神器,神器/n(名词),sin_ver_nou_del_type,0
！！,!/w(标点) !/w(标点),punctuation_type,1
开心消消乐,开心/a(形容词) 消消乐/n(名词),com_del_type,0
高清电影,高清/a(形容词) 电影/n(名词),com_del_type,0
项目交流,项目/n(名词) 交流/vn(其他),com_del_type,0
政斗,政/Ng(其他) 斗/v(动词),com_del_type,0
传祺,传祺/nz(其他专名),sin_nz_type,0
长城,长城/ns(地名),sin_ns_type,0
微信赚钱,微信/n(名词) 赚钱/a(形容词),com_del_type,0
炒股票,炒股票/n(名词),sin_ver_nou_del_type,0
微信软件,微信/n(名词) 软件/n(名词),com_del_type,0
基督,基督/nz(其他专名),sin_nz_type,0
夜天堂,夜/Tg(其他) 天堂/n(名词),com_del_type,0
思考,思考/v(动词),sin_ver_nou_del_type,0
南开大学,南开/ns(地名) 大学/n(名词),com_del_type,0
六三班,六三/m(数词) 班/n(名词),val_num_time_type,1
北京美女包夜,北京/ns(地名) 美女/n(名词) 包夜/n(名词),porn_type,1
隆鼻整形,隆鼻/v(动词) 整形/vn(其他),com_del_type,0
巴萨,巴萨/n(名词),sin_ver_nou_del_type,0
热巴,热巴/nz(其他专名),sin_nz_type,0
常联系,常/d(副词) 联系/v(动词),val_eval_type,1
影视会员,影视/b(其他) 会员/n(名词),com_del_type,0
流行音乐,流行/v(动词) 音乐/n(名词),com_del_type,0
消防工程,消防/b(其他) 工程/n(名词),com_del_type,0
进项票,进项/n(名词) 票/n(名词),com_del_type,0
